root,target,path,cost
12,97,97 <- 76 <- 66 <- 24 <- 12,30
12,98,null,null
12,99,99 <- 83 <- 79 <- 66 <- 24 <- 12,62
12,100,null,null
13,14,null,null
13,15,null,null
13,16,null,null
13,17,null,null
13,18,null,null
13,19,null,null
13,20,20 <- 13,7
13,21,null,null
13,22,null,null
13,23,null,null
13,24,24 <- 20 <- 13,14
13,25,null,null
13,26,26 <- 13,7
13,27,null,null
13,28,28 <- 26 <- 13,19
13,29,null,null
13,30,30 <- 26 <- 13,17
13,31,null,null
13,32,null,null
13,33,null,null
13,34,null,null
13,35,null,null
13,36,36 <- 30 <- 26 <- 13,19
13,37,37 <- 28 <- 26 <- 13,27
13,38,38 <- 13,11
13,39,null,null
13,40,40 <- 28 <- 26 <- 13,21
13,41,null,null
13,42,null,null
13,43,null,null
13,44,44 <- 13,6
13,45,null,null
13,46,46 <- 28 <- 26 <- 13,23
13,47,47 <- 40 <- 28 <- 26 <- 13,24
13,48,null,null
13,49,49 <- 26 <- 13,13
13,50,null,null
13,51,51 <- 30 <- 26 <- 13,21
13,52,null,null
13,53,53 <- 49 <- 26 <- 13,18
13,54,54 <- 28 <- 26 <- 13,26
13,55,55 <- 44 <- 13,19
13,56,null,null
13,57,null,null
13,58,58 <- 24 <- 20 <- 13,23
13,59,59 <- 44 <- 13,10
13,60,null,null
13,61,null,null
13,62,62 <- 58 <- 24 <- 20 <- 13,31
13,63,63 <- 13,3
13,64,null,null
13,65,65 <- 28 <- 26 <- 13,29
13,66,66 <- 53 <- 49 <- 26 <- 13,27
13,67,null,null
13,68,68 <- 51 <- 30 <- 26 <- 13,23
13,69,69 <- 37 <- 28 <- 26 <- 13,29
13,70,null,null
13,71,71 <- 46 <- 28 <- 26 <- 13,28
13,72,null,null
13,73,73 <- 55 <- 44 <- 13,26
13,74,74 <- 38 <- 13,17
13,75,75 <- 58 <- 24 <- 20 <- 13,38
13,76,76 <- 66 <- 53 <- 49 <- 26 <- 13,31
13,77,77 <- 71 <- 46 <- 28 <- 26 <- 13,36
13,78,78 <- 49 <- 26 <- 13,25
13,79,79 <- 66 <- 53 <- 49 <- 26 <- 13,37
13,80,80 <- 40 <- 28 <- 26 <- 13,34
13,81,81 <- 40 <- 28 <- 26 <- 13,23
13,82,82 <- 55 <- 44 <- 13,23
13,83,83 <- 44 <- 13,11
13,84,84 <- 36 <- 30 <- 26 <- 13,31
13,85,85 <- 82 <- 55 <- 44 <- 13,38
13,86,86 <- 76 <- 66 <- 53 <- 49 <- 26 <- 13,33
13,87,null,null
13,88,88 <- 38 <- 13,16
13,89,89 <- 78 <- 49 <- 26 <- 13,34
13,90,90 <- 47 <- 40 <- 28 <- 26 <- 13,26
13,91,91 <- 49 <- 26 <- 13,16
13,92,92 <- 47 <- 40 <- 28 <- 26 <- 13,28
13,93,93 <- 49 <- 26 <- 13,25
13,94,null,null
13,95,95 <- 66 <- 53 <- 49 <- 26 <- 13,42
13,96,96 <- 63 <- 13,9
